itr,acc,d_loss,g_loss,w_distance,fid
19341,56.25,0.6328344345092773,0.8939327001571655,0.2610982656478882,0.0005370252471725431
19342,68.75,0.5541567802429199,0.9213111400604248,0.3671543598175049,0.000671019444871843
19343,65.625,0.6043440103530884,0.9231051206588745,0.31876111030578613,0.0001550511307898037
19344,56.25,0.6514099836349487,0.8855847120285034,0.2341747283935547,0.00012734818920842703
19345,65.625,0.5839157700538635,0.9138904809951782,0.3299747109413147,0.0002080323420809905
19346,71.875,0.5514451265335083,0.9266291260719299,0.37518399953842163,0.00028506639326057634
19347,56.25,0.645294725894928,0.8706164956092834,0.22532176971435547,0.00015102292406750934
19348,65.625,0.5681866407394409,0.9255112409591675,0.35732460021972656,0.0002325525875988741
19349,65.625,0.6004822254180908,0.8859148025512695,0.2854325771331787,0.0007031699459877165
19350,62.5,0.6098880767822266,0.917210042476654,0.3073219656944275,0.00018948250883236653
19351,53.125,0.6777783632278442,0.8595954179763794,0.18181705474853516,0.00038893264244913483
19352,59.375,0.6095110177993774,0.8655223846435547,0.25601136684417725,0.00025225224912873485
19353,75.0,0.537743330001831,0.830817699432373,0.293074369430542,0.0007147555059926954
19354,68.75,0.5817610621452332,0.8668412566184998,0.2850801944732666,0.00022315389883686293
19355,56.25,0.627432107925415,0.8840785026550293,0.25664639472961426,0.0002498866211153787
19356,53.125,0.6959537267684937,0.9088490009307861,0.21289527416229248,0.0004479789652370789
19357,62.5,0.6146326661109924,0.9120191335678101,0.2973864674568176,0.00037188232656534413
19358,62.5,0.6156341433525085,0.9135475158691406,0.2979133725166321,0.00047317315297834393
19359,62.5,0.6022287607192993,0.8522180318832397,0.24998927116394043,0.0005847777830103496
19360,65.625,0.5945050716400146,0.8545239567756653,0.26001888513565063,0.00018906661957107472
19361,56.25,0.6344829797744751,0.8145159482955933,0.18003296852111816,0.00048317952061467125
19362,62.5,0.5953782796859741,0.8493015766143799,0.25392329692840576,0.0004159123610937312
19363,62.5,0.6098783016204834,0.7829639911651611,0.17308568954467773,0.0006831951600597779
19364,65.625,0.6032016277313232,0.822882354259491,0.21968072652816772,0.0003419978033470506
19365,50.0,0.6529332399368286,0.8572366237640381,0.20430338382720947,0.00024310958641907991
19366,62.5,0.5862331986427307,0.8452038764953613,0.2589706778526306,0.00037998809961797337
19367,56.25,0.6413520574569702,0.7947238683700562,0.15337181091308594,0.0004730024908084512
19368,53.125,0.654651939868927,0.8632181882858276,0.20856624841690063,0.0007681294911282739
19369,68.75,0.5488731265068054,0.8572524785995483,0.3083793520927429,0.0003718668273689279
19370,71.875,0.5844277739524841,0.808609664440155,0.2241818904876709,0.0006962930298029395
19371,68.75,0.6060421466827393,0.8334883451461792,0.22744619846343994,0.00020930194545558034
19372,56.25,0.6389843225479126,0.8588230013847351,0.2198386788368225,0.0003929105523535332
19373,65.625,0.582015872001648,0.8405911326408386,0.2585752606391907,0.0005880837572095597
19374,59.375,0.6342822909355164,0.8894391655921936,0.25515687465667725,0.000293826035586571
19375,75.0,0.5050071477890015,0.877562940120697,0.37255579233169556,0.0006508488676896305
19376,68.75,0.5569413304328918,0.8534308671951294,0.29648953676223755,0.00039498929686066734
19377,59.375,0.6410160064697266,0.8575290441513062,0.2165130376815796,0.000464207907253911
19378,65.625,0.5837247371673584,0.8615496754646301,0.27782493829727173,0.0012055299123532967
19379,59.375,0.6367729306221008,0.8131983280181885,0.17642539739608765,0.0007635301351603813
19380,62.5,0.6078018546104431,0.8819409608840942,0.2741391062736511,0.0002578268270753663
19381,71.875,0.6015279293060303,0.8274343013763428,0.2259063720703125,0.0008110817375470619
19382,65.625,0.572823166847229,0.7817807197570801,0.20895755290985107,0.000163462696791537
19383,65.625,0.5806595087051392,0.8143497705459595,0.2336902618408203,0.0003433171039481589
