itr,acc,d_loss,g_loss
0,3.125,0.7483946681022644,0.09834583103656769
1,50.0,0.621957540512085,0.03519267216324806
2,50.0,0.665691614151001,0.03633778169751167
3,50.0,0.6518656015396118,0.10833529382944107
4,50.0,0.5716372728347778,0.27569565176963806
5,96.875,0.4233053922653198,0.28506484627723694
6,100.0,0.2854714095592499,0.25361204147338867
7,100.0,0.21478015184402466,0.17306895554065704
8,100.0,0.12830547988414764,0.0709030032157898
9,100.0,0.0663590356707573,0.10287938266992569
10,100.0,0.05270383879542351,0.04179121181368828
11,100.0,0.04179449751973152,0.020305320620536804
12,100.0,0.03737800195813179,0.05261312425136566
13,100.0,0.038777198642492294,0.1395009607076645
14,96.875,0.06479468196630478,0.09752405434846878
15,100.0,0.035795118659734726,0.283269464969635
16,96.875,0.07959393411874771,0.9559237957000732
17,100.0,0.04479966685175896,0.9591839909553528
18,96.875,0.07437075674533844,1.4852681159973145
19,100.0,0.061829425394535065,2.336426258087158
20,96.875,0.18647508323192596,5.691554069519043
21,100.0,0.13607026636600494,4.2776312828063965
22,100.0,0.08622195571660995,2.8627190589904785
23,84.375,0.4300419092178345,5.768795013427734
24,100.0,0.1454063504934311,6.467501640319824
25,96.875,0.20262742042541504,4.6891374588012695
26,93.75,0.20180876553058624,5.3445000648498535
27,96.875,0.15899302065372467,6.763398170471191
28,100.0,0.19028452038764954,5.678885459899902
29,100.0,0.1271197646856308,4.663005828857422
30,96.875,0.19489546120166779,5.416674613952637
31,100.0,0.1399925947189331,6.122036933898926
32,96.875,0.1733872890472412,6.227389335632324
33,93.75,0.27920642495155334,6.419020175933838
34,96.875,0.20920823514461517,6.084095001220703
35,96.875,0.21708805859088898,6.65411376953125
36,93.75,0.2736330032348633,6.231356620788574
37,96.875,0.1934128999710083,6.293304920196533
38,100.0,0.12791861593723297,5.65977144241333
39,90.625,0.2116488516330719,5.979823112487793
40,100.0,0.12381801009178162,6.295460224151611
41,93.75,0.21695029735565186,6.245762825012207
42,93.75,0.16914807260036469,6.270570755004883
43,96.875,0.19236990809440613,5.713318347930908
44,96.875,0.1848379671573639,6.929540634155273
45,96.875,0.18180632591247559,6.4687042236328125
46,96.875,0.2417677938938141,6.80234432220459
47,93.75,0.1785280406475067,7.005775451660156
48,96.875,0.17697671055793762,6.61132287979126
49,90.625,0.29217490553855896,6.946063041687012
50,93.75,0.22229719161987305,7.403256416320801
51,100.0,0.205407053232193,6.685420989990234
52,96.875,0.1911933422088623,5.987915992736816
53,93.75,0.21971824765205383,6.257359504699707
54,93.75,0.257535457611084,6.627457618713379
55,100.0,0.1572096198797226,6.458718299865723
56,93.75,0.25655344128608704,6.359582901000977
57,100.0,0.14010491967201233,6.147228240966797
58,96.875,0.22948528826236725,6.7058539390563965
59,100.0,0.19197627902030945,7.047480583190918
60,93.75,0.2596469819545746,7.455964088439941
61,90.625,0.25100868940353394,6.022391319274902
62,93.75,0.3016021251678467,6.767492294311523
63,100.0,0.16922684013843536,6.131453037261963
64,93.75,0.22715219855308533,6.70412540435791
65,90.625,0.2768403887748718,6.966204643249512
66,96.875,0.19102951884269714,7.0944318771362305
67,87.5,0.34014469385147095,6.70771598815918
68,96.875,0.1939205676317215,6.610533237457275
69,93.75,0.2497718185186386,6.028559684753418
70,87.5,0.2695683240890503,6.246232986450195
71,100.0,0.14220654964447021,6.569840431213379
72,90.625,0.28321373462677,5.565691947937012
73,93.75,0.21511468291282654,6.6998443603515625
74,87.5,0.2849096655845642,6.709233283996582
75,87.5,0.23541474342346191,7.173781394958496
76,84.375,0.3229435086250305,6.999354362487793
77,81.25,0.36215516924858093,5.934009552001953
78,93.75,0.20360684394836426,5.439342498779297
79,96.875,0.20665498077869415,6.0330047607421875
80,90.625,0.2970535159111023,6.404845237731934
81,93.75,0.29060089588165283,5.958134174346924
82,90.625,0.3094692528247833,6.724151134490967
83,100.0,0.15497463941574097,6.398496627807617
