itr,acc,d_loss,g_loss
0,18.75,0.7851219177246094,0.00018072444072458893
1,50.0,1.0732574462890625,0.004743111785501242
2,50.0,0.5501397848129272,0.8295515775680542
3,100.0,0.35225045680999756,1.8005955219268799
4,100.0,0.17541402578353882,1.4963018894195557
5,100.0,0.09568881243467331,1.229540467262268
6,100.0,0.03873926401138306,0.5951237082481384
7,100.0,0.01979091204702854,0.7934436798095703
8,100.0,0.018683630973100662,0.29168492555618286
9,100.0,0.01314337458461523,0.3115406334400177
10,100.0,0.010428383946418762,0.16059157252311707
11,100.0,0.015735436230897903,0.04290720447897911
12,100.0,0.010000936686992645,0.06521947681903839
13,100.0,0.011118996888399124,0.02489137277007103
14,100.0,0.005088980309665203,0.019929399713873863
15,100.0,0.010015808045864105,0.010588984936475754
16,100.0,0.005110933445394039,0.0038907111156731844
17,100.0,0.005947885103523731,0.0049722581170499325
18,100.0,0.008799088187515736,0.0070653920993208885
19,100.0,0.017003674060106277,0.04328710958361626
20,100.0,0.030329087749123573,0.549118161201477
21,100.0,0.013136805966496468,0.858371376991272
22,96.875,0.09707656502723694,2.363370418548584
23,100.0,0.04908951744437218,3.61991548538208
24,100.0,0.0642760694026947,3.705392360687256
25,96.875,0.07635052502155304,4.462038993835449
26,96.875,0.10030791163444519,5.29995059967041
27,100.0,0.13488495349884033,4.977591514587402
28,100.0,0.06767603754997253,4.111279010772705
29,93.75,0.13804222643375397,5.193523406982422
30,100.0,0.06642629206180573,5.749192714691162
31,96.875,0.16986632347106934,4.707756996154785
32,100.0,0.10705392062664032,5.606066703796387
33,93.75,0.17961227893829346,6.390870094299316
34,96.875,0.14000824093818665,6.307783126831055
35,93.75,0.24350425601005554,6.456099510192871
36,96.875,0.14437727630138397,6.425488471984863
37,93.75,0.18030813336372375,6.163681983947754
38,100.0,0.14233370125293732,6.38609504699707
39,100.0,0.09769067913293839,6.626007080078125
40,100.0,0.07647198438644409,5.885017395019531
41,100.0,0.06754480302333832,5.554131507873535
42,100.0,0.06594860553741455,6.6437764167785645
43,96.875,0.15329255163669586,6.010997772216797
44,96.875,0.14117611944675446,6.223087310791016
45,100.0,0.08477561920881271,6.876636505126953
46,93.75,0.1411018669605255,5.6678314208984375
47,100.0,0.10822100937366486,5.60678243637085
48,100.0,0.08905427157878876,5.494540214538574
49,100.0,0.0743706002831459,5.178622245788574
50,93.75,0.14038562774658203,5.822766304016113
51,100.0,0.08240997791290283,6.05910587310791
52,100.0,0.08918826282024384,5.948574066162109
53,100.0,0.07439177483320236,5.197235584259033
54,96.875,0.06365552544593811,6.189626216888428
55,96.875,0.07629150152206421,5.03639030456543
56,100.0,0.06843315809965134,5.623327255249023
57,100.0,0.08046100288629532,5.276715278625488
58,100.0,0.08756016194820404,5.72491979598999
59,100.0,0.06336557120084763,5.200366973876953
60,100.0,0.04292559251189232,4.658282279968262
61,100.0,0.0490245521068573,5.125584602355957
62,100.0,0.053370967507362366,4.869525909423828
63,96.875,0.0678115263581276,5.15318489074707
64,100.0,0.03324095532298088,5.0385541915893555
65,96.875,0.11009496450424194,5.47026252746582
66,100.0,0.053914688527584076,4.124578475952148
67,100.0,0.07761051505804062,5.582135200500488
68,100.0,0.037978243082761765,5.201292037963867
69,100.0,0.03593364357948303,4.898906707763672
70,100.0,0.035643354058265686,4.601250648498535
71,100.0,0.02876477874815464,4.623082160949707
72,100.0,0.02940843626856804,4.315314292907715
73,100.0,0.022250495851039886,4.742131233215332
74,100.0,0.03789675980806351,4.441036701202393
75,100.0,0.03149455040693283,4.061862945556641
76,100.0,0.0293660219758749,4.252100944519043
77,100.0,0.03068392165005207,4.5949554443359375
78,100.0,0.020129382610321045,3.508749008178711
79,100.0,0.03047441504895687,3.77341890335083
80,100.0,0.0283387191593647,4.458305835723877
81,100.0,0.022093938663601875,4.175871849060059
82,100.0,0.0175790973007679,3.921388626098633
83,100.0,0.022393306717276573,3.5591182708740234
84,100.0,0.0279177725315094,3.8639354705810547
85,100.0,0.019575878977775574,3.3870372772216797
86,100.0,0.02582370862364769,3.673208713531494
87,100.0,0.024148818105459213,3.1769213676452637
88,100.0,0.02081223949790001,3.5266165733337402
89,100.0,0.02387353964149952,3.165583372116089
90,100.0,0.01920955628156662,3.2647576332092285
