itr,acc,d_loss,g_loss
0,1.0,0.26658201217651367,1.3108290433883667
1,0.90625,0.3676600158214569,1.0463430881500244
2,0.90625,0.3779021203517914,1.369126558303833
3,0.9375,0.3297360837459564,0.9704549312591553
4,0.875,0.3737100064754486,1.088218331336975
5,0.96875,0.3126584589481354,1.0764813423156738
6,0.9375,0.37636759877204895,1.1732875108718872
7,0.90625,0.4679502844810486,1.1542657613754272
8,0.8125,0.5695731043815613,0.9920490980148315
9,0.9375,0.34390443563461304,1.0741337537765503
