35000 Discriminator_loss: 0.592449 acc.: 62.50% Generator_loss: 0.828269
35500 Discriminator_loss: 0.594096 acc.: 62.50% Generator_loss: 0.857423
36000 Discriminator_loss: 0.600491 acc.: 62.50% Generator_loss: 0.909068
36500 Discriminator_loss: 0.606334 acc.: 62.50% Generator_loss: 0.855707
37000 Discriminator_loss: 0.639304 acc.: 56.25% Generator_loss: 0.811051
37500 Discriminator_loss: 0.606219 acc.: 56.25% Generator_loss: 0.847075
38000 Discriminator_loss: 0.533080 acc.: 71.88% Generator_loss: 0.875385
38500 Discriminator_loss: 0.592811 acc.: 62.50% Generator_loss: 0.861066
39000 Discriminator_loss: 0.594020 acc.: 62.50% Generator_loss: 0.834023
39500 Discriminator_loss: 0.591430 acc.: 56.25% Generator_loss: 0.822479
40000 Discriminator_loss: 0.576994 acc.: 62.50% Generator_loss: 0.863779
40500 Discriminator_loss: 0.560591 acc.: 65.62% Generator_loss: 0.855309
41000 Discriminator_loss: 0.641324 acc.: 59.38% Generator_loss: 0.888918
41500 Discriminator_loss: 0.617883 acc.: 59.38% Generator_loss: 0.843902
42000 Discriminator_loss: 0.587086 acc.: 62.50% Generator_loss: 0.845514
42500 Discriminator_loss: 0.587890 acc.: 65.62% Generator_loss: 0.894196
43000 Discriminator_loss: 0.590518 acc.: 62.50% Generator_loss: 0.865955
43500 Discriminator_loss: 0.474265 acc.: 75.00% Generator_loss: 0.864743
44000 Discriminator_loss: 0.633295 acc.: 59.38% Generator_loss: 0.851962
44500 Discriminator_loss: 0.657360 acc.: 59.38% Generator_loss: 0.841196
45000 Discriminator_loss: 0.539868 acc.: 68.75% Generator_loss: 0.848563
45500 Discriminator_loss: 0.577157 acc.: 62.50% Generator_loss: 0.839490
46000 Discriminator_loss: 0.622541 acc.: 62.50% Generator_loss: 0.877903
46500 Discriminator_loss: 0.656050 acc.: 56.25% Generator_loss: 0.873888
47000 Discriminator_loss: 0.571074 acc.: 65.62% Generator_loss: 0.839657
47500 Discriminator_loss: 0.571277 acc.: 62.50% Generator_loss: 0.817367
48000 Discriminator_loss: 0.577073 acc.: 65.62% Generator_loss: 0.845300
48500 Discriminator_loss: 0.595515 acc.: 68.75% Generator_loss: 0.848338
49000 Discriminator_loss: 0.634299 acc.: 56.25% Generator_loss: 0.810951
49500 Discriminator_loss: 0.541846 acc.: 68.75% Generator_loss: 0.850389
50000 Discriminator_loss: 0.575905 acc.: 62.50% Generator_loss: 0.849827
50500 Discriminator_loss: 0.598770 acc.: 65.62% Generator_loss: 0.860444
51000 Discriminator_loss: 0.600666 acc.: 62.50% Generator_loss: 0.863542
51500 Discriminator_loss: 0.651713 acc.: 53.12% Generator_loss: 0.869776
52000 Discriminator_loss: 0.665536 acc.: 56.25% Generator_loss: 0.810046
52500 Discriminator_loss: 0.637285 acc.: 59.38% Generator_loss: 0.842529
53000 Discriminator_loss: 0.577547 acc.: 59.38% Generator_loss: 0.846224
53500 Discriminator_loss: 0.483771 acc.: 68.75% Generator_loss: 0.911528
54000 Discriminator_loss: 0.692439 acc.: 53.12% Generator_loss: 0.852181
54500 Discriminator_loss: 0.649973 acc.: 56.25% Generator_loss: 0.849710
55000 Discriminator_loss: 0.681351 acc.: 53.12% Generator_loss: 0.851642
55500 Discriminator_loss: 0.633823 acc.: 62.50% Generator_loss: 0.889667
56000 Discriminator_loss: 0.617788 acc.: 59.38% Generator_loss: 0.861449
56500 Discriminator_loss: 0.643934 acc.: 56.25% Generator_loss: 0.834740
57000 Discriminator_loss: 0.584155 acc.: 62.50% Generator_loss: 0.880332
57500 Discriminator_loss: 0.663735 acc.: 56.25% Generator_loss: 0.855295
58000 Discriminator_loss: 0.550973 acc.: 65.62% Generator_loss: 0.852043
58500 Discriminator_loss: 0.568861 acc.: 62.50% Generator_loss: 0.829213
59000 Discriminator_loss: 0.618087 acc.: 59.38% Generator_loss: 0.855476
59500 Discriminator_loss: 0.604516 acc.: 62.50% Generator_loss: 0.904589
60000 Discriminator_loss: 0.551486 acc.: 65.62% Generator_loss: 0.881557
60500 Discriminator_loss: 0.675248 acc.: 53.12% Generator_loss: 0.854708
61000 Discriminator_loss: 0.608825 acc.: 62.50% Generator_loss: 0.841703
61500 Discriminator_loss: 0.531238 acc.: 68.75% Generator_loss: 0.871549
62000 Discriminator_loss: 0.613346 acc.: 59.38% Generator_loss: 0.862837
62500 Discriminator_loss: 0.660627 acc.: 59.38% Generator_loss: 0.857468
63000 Discriminator_loss: 0.618760 acc.: 62.50% Generator_loss: 0.843032
63500 Discriminator_loss: 0.639907 acc.: 59.38% Generator_loss: 0.843305
64000 Discriminator_loss: 0.563781 acc.: 65.62% Generator_loss: 0.851503
64500 Discriminator_loss: 0.610753 acc.: 59.38% Generator_loss: 0.870298
65000 Discriminator_loss: 0.550377 acc.: 71.88% Generator_loss: 0.826005
65500 Discriminator_loss: 0.540211 acc.: 68.75% Generator_loss: 0.819492
