itr,acc,d_loss,g_loss,w_distance,fid
10715,46.875,0.6953049898147583,0.8020015954971313,0.10669660568237303,0.0012362648810731905
10716,59.375,0.6336541175842285,0.8069251775741577,0.1732710599899292,0.0014080786734433587
10717,68.75,0.5770396590232849,0.787619411945343,0.2105797529220581,0.001792124686986905
10718,71.875,0.5323019027709961,0.7765613198280334,0.2442594170570373,0.0009138671120434447
10719,68.75,0.5511170029640198,0.7935270071029663,0.2424100041389465,0.0016562076481245493
10720,53.125,0.6606457233428955,0.7965785264968872,0.1359328031539917,0.0006269121796793457
10721,62.5,0.6200008988380432,0.7888140678405762,0.16881316900253296,0.0009653612493247057
10722,59.375,0.6194411516189575,0.7528299689292908,0.13338881731033325,0.0007510164180323366
10723,56.25,0.6469824314117432,0.7978866100311279,0.15090417861938474,0.0009726350727170107
10724,65.625,0.5818540453910828,0.7814432382583618,0.19958919286727905,0.0009023096622572057
10725,56.25,0.6029029488563538,0.7895945310592651,0.18669158220291127,0.0008991738400995137
10726,68.75,0.5488159656524658,0.7966482639312744,0.2478322982788086,0.0012534444554643913
10727,53.125,0.6538737416267395,0.8050644397735596,0.15119069814682007,0.001968680103684921
10728,75.0,0.5871816873550415,0.7972977161407471,0.2101160287857056,0.0008324756148535777
10729,50.0,0.6647101640701294,0.7797870635986328,0.11507689952850345,0.0005856788404891652
10730,53.125,0.6663879156112671,0.7892686128616333,0.1228806972503662,0.0015113080030101813
10731,65.625,0.5995510816574097,0.7998836636543274,0.20033258199691767,0.000855087703042405
10732,65.625,0.6107515692710876,0.8119633197784424,0.20121175050735474,0.0007813652009399152
10733,71.875,0.5582112669944763,0.7880468368530273,0.22983556985855105,0.0008206958903401384
10734,65.625,0.6034204959869385,0.7854477167129517,0.1820272207260132,0.0009610703871650064
10735,59.375,0.6012110710144043,0.7873981595039368,0.18618708848953247,0.0009757687536497813
10736,65.625,0.5703732967376709,0.8025649189949036,0.2321916222572327,0.0009467981240844252
10737,59.375,0.6186342835426331,0.7938809394836426,0.17524665594100952,0.00135230075199326
10738,56.25,0.6501967906951904,0.801674485206604,0.15147769451141355,0.0025083906359858648
10739,56.25,0.6131108999252319,0.7926971912384033,0.1795862913131714,0.0014258957601636824
10740,59.375,0.6185222864151001,0.7902379035949707,0.1717156171798706,0.0009971866215064426
10741,59.375,0.6017663478851318,0.7929760813713074,0.19120973348617554,0.0008116669340827632
10742,59.375,0.5946618318557739,0.8024774789810181,0.2078156471252441,0.0010275751733794217
10743,59.375,0.6027404069900513,0.7926319241523743,0.189891517162323,0.00044493871186614055
10744,53.125,0.6739071607589722,0.7947186231613159,0.12081146240234375,0.0010278842825085488
10745,68.75,0.5192188620567322,0.8007711172103882,0.281552255153656,0.0010791474379988765
10746,71.875,0.5417476892471313,0.8041003942489624,0.26235270500183105,0.0011746847268288728
10747,65.625,0.6154224872589111,0.7923184037208557,0.17689591646194458,0.001032074733909856
10748,62.5,0.5960055589675903,0.8018991947174072,0.2058936357498169,0.0012059133119551116
10749,68.75,0.5627208352088928,0.811305820941925,0.24858498573303225,0.0016696552181482114
10750,53.125,0.6388702392578125,0.8117583394050598,0.17288810014724731,0.0006722940123435223
10751,56.25,0.6226232647895813,0.8058838844299316,0.18326061964035034,0.0005959751299524032
10752,65.625,0.6247297525405884,0.8208848834037781,0.1961551308631897,0.0014510817260423815
10753,56.25,0.6230731010437012,0.8184517621994019,0.19537866115570068,0.0008333970580871777
10754,65.625,0.5890688896179199,0.7914425134658813,0.20237362384796145,0.0006819130360898152
10755,68.75,0.5648843050003052,0.8001675605773926,0.2352832555770874,0.0013962886359500902
10756,59.375,0.6223770380020142,0.7935054898262024,0.17112845182418826,0.0012883735978133626
10757,56.25,0.6209617257118225,0.7929649353027344,0.17200320959091187,0.0013940093317310856
10758,71.875,0.5391307473182678,0.8079177737236023,0.2687870264053345,0.0013115734102026036
10759,65.625,0.6333205699920654,0.7888444662094116,0.1555238962173462,0.0014077026339303616
10760,68.75,0.5139183402061462,0.7968887686729431,0.2829704284667969,0.0016281761259598366
10761,65.625,0.574167788028717,0.8066889047622681,0.23252111673355105,0.001005345633919595
10762,56.25,0.6241661906242371,0.8238492012023926,0.19968301057815552,0.0009562822436762592
10763,53.125,0.6666009426116943,0.7911779880523682,0.12457704544067386,0.0012853114589529314
10764,75.0,0.5101963281631471,0.7975621223449707,0.2873657941818237,0.0011964963114777798
10765,50.0,0.6649726629257202,0.7904108762741089,0.12543821334838867,0.0012624211354539693
10766,65.625,0.607730507850647,0.7967631220817566,0.1890326142311096,0.0017284451052108365
10767,65.625,0.5415439605712891,0.8032076358795166,0.26166367530822754,0.0010835895549747695
10768,71.875,0.5321604013442993,0.8143206834793091,0.28216028213500977,0.0004734091637257949
10769,53.125,0.6612638235092163,0.8192756772041321,0.15801185369491574,0.0011122544494179317
10770,62.5,0.6199649572372437,0.8069652318954468,0.18700027465820312,0.0008683888210114728
10771,50.0,0.681591808795929,0.8006761074066162,0.11908429861068726,0.0007849180001754206
10772,68.75,0.5957833528518677,0.8002467155456543,0.20446336269378665,0.0005196274934591191
10773,62.5,0.6212955713272095,0.7939348816871643,0.17263931035995486,0.0011971585167358256
10774,65.625,0.586422324180603,0.7845662236213684,0.19814389944076533,0.001042435970063676
10775,46.875,0.6653071045875549,0.7651078701019287,0.09980076551437378,0.0011723372034035027
10776,56.25,0.6339812278747559,0.7867032289505005,0.15272200107574466,0.0016190462561652874
10777,56.25,0.6456055045127869,0.8192020654678345,0.1735965609550476,0.001113550418903004
10778,56.25,0.6022753715515137,0.7983875870704651,0.19611221551895144,0.0005802144553190424
10779,62.5,0.5906747579574585,0.8130169510841371,0.22234219312667847,0.0011058507448407518
10780,59.375,0.6114140748977661,0.8046968579292297,0.1932827830314636,0.0011071449417489403
10781,53.125,0.6437687277793884,0.7945098876953125,0.15074115991592407,0.0013817496526525115
10782,62.5,0.5956234931945801,0.7960852980613708,0.2004618048667908,0.0007202942236469301
10783,62.5,0.6110782623291016,0.8086419701576233,0.19756370782852173,0.0010924700664630023
10784,56.25,0.6454940438270569,0.8261125087738037,0.18061846494674685,0.0014831069471495473
10785,65.625,0.5706394910812378,0.828914999961853,0.25827550888061523,0.0008540077653612425
10786,56.25,0.6199414730072021,0.8172506093978882,0.19730913639068606,0.0008675691338361045
